FmPrime,FoPrime,Fs,FvP/FmP,LEF,NPQt,Phi2,PhiNO,PhiNPQ,RFd,SPAD_420,SPAD_530,SPAD_605,SPAD_650,SPAD_730,SPAD_850,SPAD_880,absorbance_530,absorbance_605,absorbance_730,absorbance_850,absorbance_880,absorbance_940,ambient_humidity,column,cultivar,cultivar_id,date,leaf_angle_clamp_position,leaf_temperature,leaf_temperature_differential,leaf_thickness,light_intensity_PAR,pitch,proximal_air_temperature,qL,qP,range,relative_chlorophyll,roll,season
4955.075,3003.0,4029.8,0.39399999999999996,125.788,6.51,0.187,0.10800000000000001,0.705,0.23,189.44,85.07,114.21,56.44,-5.23,-4.17,1.27,1.327,1.618,0.424,0.435,0.489,0.47600000000000003,26.861328000000004,14,6000000962,6000000962,2017-08-30 10:49:00,35.82,308.61,-6.95,0.11,1497.0,17.46,42.41,0.353,0.474,16,56.44359465,-31.79,4
4123.517,2425.0,3213.2,0.41200000000000003,161.623,5.97,0.221,0.11199999999999999,0.667,0.28300000000000003,200.0,83.04,107.22,53.47,-7.63,-4.16,1.19,1.29,1.5319999999999998,0.38299999999999995,0.418,0.47100000000000003,0.45899999999999996,24.956055,14,6000000208,6000000208,2017-08-30 10:56:00,30.57,308.06,-7.330002,0.11,1627.0,-7.84,42.240002000000004,0.405,0.536,26,53.46845124,-29.64,4
3553.002,2151.0,2600.4,0.39399999999999996,158.05,6.4910000000000005,0.268,0.098,0.634,0.366,165.3,66.07,84.33,41.82,-9.26,-2.87,1.68,1.146,1.328,0.39299999999999996,0.456,0.502,0.485,25.692383,14,6000000208,6000000208,2017-08-30 10:58:00,12.03,310.26,-5.37,0.8,1310.0,6.57,42.48,0.562,0.68,26,41.82409178,-10.1,4
4535.549,2263.0,3521.8,0.501,176.322,3.858,0.22399999999999998,0.16,0.617,0.28800000000000003,151.77,65.27,84.68,40.36,-10.85,-3.76,1.44,1.122,1.3159999999999998,0.361,0.43200000000000005,0.484,0.469,24.058594,15,6000000851,6000000851,2017-08-30 11:02:00,18.17,309.48,-6.109999,0.21,1753.0,-9.79,42.439999,0.287,0.446,26,40.36328872,15.39,4
1937.6529999999998,1669.0,1766.9,0.139,68.958,29.253,0.08800000000000001,0.03,0.882,0.09699999999999999,136.06,53.68,68.05,32.98,-16.32,-3.8,0.63,1.028,1.171,0.32799999999999996,0.45299999999999996,0.49700000000000005,0.491,23.40332,3,6000000964,6000000964,2017-08-30 11:28:00,22.22,320.7,3.7199980000000004,0.34,1739.0,14.35,43.830002,0.599,0.634,45,32.98279159,-17.14,4
2075.766,1926.0,1938.0,0.07200000000000001,49.873999999999995,61.7,0.066,0.015,0.919,0.071,135.02,49.95,66.19,32.55,-14.81,-3.76,1.96,0.965,1.127,0.317,0.42700000000000005,0.485,0.465,24.633789,3,6000000964,6000000964,2017-08-30 11:29:00,24.51,320.62,3.050002,0.11,1670.0,23.9,44.419998,0.9129999999999999,0.919,45,32.55066922,5.6,4
1233.663,1162.0,1162.6,0.057999999999999996,38.594,78.607,0.057999999999999996,0.012,0.9309999999999999,0.061,116.43,42.96,53.12,24.44,-17.48,-3.69,1.66,0.9129999999999999,1.015,0.309,0.447,0.5,0.484,23.763672,3,6000000964,6000000964,2017-08-30 11:30:00,7.65,321.82,3.8799989999999998,0.14,1489.0,7.59,44.790001000000004,0.997,0.997,45,24.43977055,0.9,4
3043.8190000000004,2382.0,2600.4,0.218,106.45200000000001,16.554000000000002,0.146,0.049,0.8059999999999999,0.171,158.99,77.86,99.58,46.44,-8.1,-3.88,1.78,1.249,1.4669999999999999,0.39,0.43200000000000005,0.489,0.47100000000000003,22.789062,4,6000000962,6000000962,2017-08-30 11:34:00,13.39,316.2,-1.420001,0.18,1624.0,12.78,44.470001,0.613,0.67,45,46.44359465,-4.01,4
1829.266,1739.0,1666.5,0.049,63.808,92.95200000000001,0.08900000000000001,0.01,0.9009999999999999,0.098,132.82,45.4,60.68,29.76,-16.32,-3.97,1.81,0.912,1.065,0.295,0.418,0.47600000000000003,0.45799999999999996,21.236328,2,6000000964,6000000964,2017-08-30 11:43:00,3.8,317.42,-0.36999899999999997,0.23,1594.0,0.66,44.639998999999996,1.88,1.8019999999999998,21,29.76290631,-3.74,4
2270.9629999999997,2006.0,1940.3,0.11699999999999999,85.49799999999999,35.893,0.146,0.023,0.831,0.17,135.78,56.18,74.2,35.38,-13.83,-4.0,1.79,1.045,1.225,0.345,0.44299999999999995,0.501,0.483,21.314453,2,6000000964,6000000964,2017-08-30 11:46:00,16.94,319.36,0.860002,0.13,1305.0,9.97,45.349998,1.288,1.246,21,35.38049713,-13.77,4
