canopy_height,column,cultivar,date,leaf_angle_alpha,leaf_angle_beta,leaf_angle_chi,leaf_angle_mean,range,season,day_offset
25.0,9,6000001022,2017-05-19 12:00:00,3.2393871062199997,2.07464962229,1.8796761053,0.41011220580200003,50,4,18
29.0,14,6000000231,2017-05-19 12:00:00,3.2716247098799998,2.06902568417,1.8822140398700002,0.41637503645400004,46,4,18
37.0,2,6000000863,2017-05-19 12:00:00,3.79167051731,2.36559661243,1.8580054504099999,0.41577279927599997,46,4,18
23.0,15,6000000871,2017-05-19 12:00:00,3.9266864490199995,2.40253839332,1.8898818531400001,0.404673032407,11,4,18
21.0,2,6000000865,2017-05-19 12:00:00,3.2890923258999996,2.34197491847,1.7213400157299998,0.447216035635,12,4,18
30.0,13,6000000747,2017-05-19 12:00:00,2.9802777852599998,2.0326879512700002,1.80853550465,0.429787328116,38,4,18
33.0,2,6000000738,2017-05-19 12:00:00,3.78189578378,2.4198349744599996,1.8205189920900002,0.426224887249,38,4,18
29.0,3,6000000235,2017-05-19 12:00:00,3.55688352124,2.1883381605900003,1.88347893735,0.416070694616,38,4,18
27.0,8,6000000882,2017-05-19 12:00:00,3.60984743806,2.16768189312,1.91567787493,0.41229546517099996,38,4,18
19.0,2,6000000222,2017-05-19 12:00:00,3.41966663619,2.1188857948099997,1.91643342282,0.40355623617499997,13,4,18
25.0,5,6000000985,2017-05-19 12:00:00,3.55590881758,2.37738687628,1.81401541689,0.416972312118,13,4,18
21.0,12,6000000896,2017-05-19 12:00:00,3.40242595861,2.2463015953,1.8356498811900002,0.412892512077,44,4,18
22.0,2,6000000733,2017-05-19 12:00:00,3.3427811317900002,2.23071857022,1.80176506979,0.42877158683600003,30,4,18
16.0,8,6000000712,2017-05-19 12:00:00,3.8093259532699997,2.2931731280900003,1.9011057575799999,0.41238741993,48,4,18
19.0,8,6000000960,2017-05-19 12:00:00,3.0858212467,2.2290679621700002,1.73350890393,0.439105772439,30,4,18
26.0,4,6000000718,2017-05-19 12:00:00,2.48564242995,1.75629792727,1.8225821588,0.430287817938,15,4,18
20.0,5,6000000917,2017-05-19 12:00:00,4.3874785454400005,2.52113215667,2.00450727169,0.36542882405,15,4,18
25.0,2,6000000696,2017-05-19 12:00:00,4.0543013833499995,2.67346852473,1.77776068018,0.42996723264799996,28,4,18
33.0,8,6000000814,2017-05-19 12:00:00,3.90259624621,2.15133706481,2.05725945341,0.381695156695,15,4,18
34.0,11,6000000558,2017-05-19 12:00:00,3.83422085431,2.50319959276,1.76999841572,0.441903073286,42,4,18
21.0,12,6000000229,2017-05-19 12:00:00,3.68080075639,2.36744244885,1.8551067013799998,0.408555911681,43,4,18
30.0,13,6000000983,2017-05-19 12:00:00,3.13359669095,2.0988757719,1.82353452575,0.426684164479,32,4,18
17.0,5,6000000951,2017-05-19 12:00:00,5.14480457658,2.9959844189,1.9175457407299998,0.38956884561899996,39,4,18
27.0,14,6000000962,2017-05-19 12:00:00,2.6961889260400005,1.89873086003,1.8108518204400004,0.433426183844,16,4,18
27.0,12,6000000809,2017-05-19 12:00:00,3.5636893432699996,2.17230632112,1.90789504626,0.40976939203400004,32,4,18
15.0,13,6000000919,2017-05-19 12:00:00,3.5658294083599995,2.340247088,1.8371443538900003,0.41210048983900005,42,4,18
20.0,12,6000000220,2017-05-19 12:00:00,2.57616008823,1.9504377920200002,1.6927200436200003,0.460250391236,17,4,18
26.0,2,6000000858,2017-05-19 12:00:00,3.87804393074,2.29853867315,1.9359768113299998,0.39970672864100004,19,4,18
22.0,5,6000000977,2017-05-19 12:00:00,2.8242993590900003,1.9833219413099998,1.78746109151,0.437041149978,19,4,18
29.0,6,6000000472,2017-05-19 12:00:00,3.1182808511,2.11408082027,1.81508375999,0.424584451229,45,4,18
31.0,5,6000000835,2017-05-19 12:00:00,3.9525669090599997,2.20506674945,2.0405120186200003,0.37452535448200003,45,4,18
32.0,7,6000000897,2017-05-19 12:00:00,3.0619088435400004,1.95726868121,1.87412711463,0.422657205774,47,4,18
17.0,5,6000000932,2017-05-19 12:00:00,4.3331269426,2.30213243874,2.05852735654,0.38263428991899995,40,4,18
32.0,10,6000000901,2017-05-19 12:00:00,1.15740882563,1.27323650796,1.531831294,0.512874251497,21,4,18
17.0,4,6000000949,2017-05-19 12:00:00,2.07265273865,1.63868449925,1.70214541188,0.466022400634,47,4,18
20.0,6,6000000820,2017-05-19 12:00:00,3.1548523561699997,2.05231681548,1.8747733927,0.41149882985799996,22,4,18
26.0,4,6000000209,2017-05-19 12:00:00,2.6767427617400004,1.8948350042,1.8031862768200002,0.42998772252899997,39,4,18
21.0,11,6000000890,2017-05-19 12:00:00,1.26710299971,1.25148940692,1.6492986583200002,0.490153966853,51,4,18
24.0,11,6000000573,2017-05-19 12:00:00,1.9677407345500002,1.4157664790399997,1.9053800068,0.43982315649,33,4,18
23.0,2,6000000870,2017-05-19 12:00:00,3.99552839411,2.39681817,1.91134159713,0.40401355604,51,4,18
34.0,15,6000000736,2017-05-19 12:00:00,3.0924859342400004,2.10164901506,1.81728081604,0.426021136818,29,4,18
19.0,4,6000000799,2017-05-19 12:00:00,2.44181533651,1.7197360040599998,1.82407157042,0.431132075472,31,4,18
17.0,15,6000000576,2017-05-19 12:00:00,4.25506473043,2.44465772102,1.9700089270099999,0.38435720844800003,24,4,18
24.0,6,6000000978,2017-05-19 12:00:00,3.28185152956,1.99873136242,1.9392430486,0.405291744258,28,4,18
35.0,14,6000000837,2017-05-19 12:00:00,3.95489628365,2.40806548849,1.8866601517099997,0.409557438795,32,4,18
24.0,7,6000000825,2017-05-19 12:00:00,3.80989005959,2.2084705032,1.98417084926,0.38697884575900005,45,4,18
26.0,10,6000000230,2017-05-19 12:00:00,3.92348865755,2.15712589854,2.10023198603,0.364693665628,37,4,18
25.0,2,6000000976,2017-05-19 12:00:00,3.18009724158,2.09944493851,1.83355880716,0.426090342679,45,4,18
24.0,6,6000000994,2017-05-19 12:00:00,4.22549667695,2.5138109598700003,1.9177796605200002,0.39389656938,33,4,18
33.0,3,6000001029,2017-05-19 12:00:00,3.8545353215,2.2637505252000003,1.95210491998,0.395403918411,29,4,18
20.0,4,6000000934,2017-05-19 12:00:00,3.79818579148,2.27806727851,1.89597688217,0.42242371905599996,19,4,18
26.0,2,6000000729,2017-05-19 12:00:00,3.46588528929,2.3340139354700002,1.7794230021200002,0.43367229340400004,33,4,18
20.0,11,6000000927,2017-05-19 12:00:00,4.24885328979,2.57478602555,1.9199238932,0.385630498534,12,4,18
23.0,13,6000000724,2017-05-19 12:00:00,3.12373591587,2.01588175087,1.85171508198,0.42757556406999997,33,4,18
26.0,3,6000000795,2017-05-19 12:00:00,3.24523648542,2.23019104681,1.78494505371,0.42901084010799995,21,4,18
17.0,5,6000000690,2017-05-19 12:00:00,2.9553033521499996,2.03451810336,1.79467163504,0.429486491322,26,4,18
20.0,12,6000000954,2017-05-19 12:00:00,3.2314294876200003,2.06758872523,1.89703329097,0.401750921538,35,4,18
25.0,15,6000000462,2017-05-19 12:00:00,3.3864579686400003,2.19296028187,1.8398007341,0.423422043525,35,4,18
