column,cultivar,cultivar_id,date,panicle_count,panicle_surface_area,panicle_volume,range,season
10,6000000472,6000000472,2017-08-28 12:00:00,30.0,10031.308199500001,51337.2710935,19,4
2,6000001061,6000001061,2017-08-28 12:00:00,9.0,11289.365861,85110.737749,20,4
5,6000000987,6000000987,2017-08-28 12:00:00,26.0,16054.273191499999,125625.08324600001,20,4
7,6000000971,6000000971,2017-08-28 12:00:00,32.0,14712.292819499999,106039.498978,20,4
13,6000000209,6000000209,2017-08-28 12:00:00,18.0,8881.328711,50671.0035995,23,4
3,6000000744,6000000744,2017-08-28 12:00:00,12.0,19646.139306,157729.809162,3,4
4,6000000462,6000000462,2017-08-28 12:00:00,36.0,14136.929106,80104.89886649999,3,4
8,6000000469,6000000469,2017-08-28 12:00:00,43.0,11761.940951999999,54600.63002899999,7,4
2,6000000726,6000000726,2017-08-28 12:00:00,107.0,26634.985232,239082.42278400002,8,4
11,6000000824,6000000824,2017-08-28 12:00:00,5.0,12405.577386,75938.844308,8,4
3,6000000725,6000000725,2017-08-28 12:00:00,87.0,15619.249056,96716.860191,10,4
7,6000000749,6000000749,2017-08-28 12:00:00,25.0,15414.235063999999,107971.221747,10,4
11,6000000731,6000000731,2017-08-28 12:00:00,71.0,14578.189502000001,88924.185505,10,4
14,6000000737,6000000737,2017-08-28 12:00:00,51.0,13690.923262,80443.71172200001,10,4
8,6000001057,6000001057,2017-08-28 12:00:00,40.0,17088.769012,138113.420922,11,4
4,6000001024,6000001024,2017-08-28 12:00:00,40.0,11726.942242000001,57702.708502,12,4
8,6000001002,6000001002,2017-08-28 12:00:00,51.0,14175.948838999999,89081.550126,12,4
11,6000000927,6000000927,2017-08-28 12:00:00,4.0,27074.710760500002,281456.05735300004,12,4
14,6000000991,6000000991,2017-08-28 12:00:00,12.0,7197.859389499999,28592.02921,15,4
13,6000000465,6000000465,2017-08-28 12:00:00,58.0,10231.8540325,49977.899498,16,4
13,6000000986,6000000986,2017-08-28 12:00:00,33.0,14897.554097,104800.357875,17,4
3,6000000735,6000000735,2017-08-28 12:00:00,132.0,14971.235940999999,86940.7484175,18,4
4,6000000872,6000000872,2017-08-28 12:00:00,53.0,12380.691639,64012.393226,18,4
8,6000000464,6000000464,2017-08-28 12:00:00,32.0,14267.896095500002,84676.1870735,18,4
11,6000001005,6000001005,2017-08-28 12:00:00,29.0,13074.6507,91349.224201,18,4
13,6000000559,6000000559,2017-08-28 12:00:00,4.0,16745.4189465,137123.305454,19,4
4,6000000861,6000000861,2017-08-28 12:00:00,14.0,10043.364055,59654.096129,20,4
8,6000001021,6000001021,2017-08-28 12:00:00,88.0,13507.073263999999,69793.25405650001,20,4
10,6000000873,6000000873,2017-08-28 12:00:00,8.0,14049.2539065,91386.22205750001,20,4
6,6000000706,6000000706,2017-08-28 12:00:00,17.0,41917.868848000006,667301.171473,21,4
6,6000000750,6000000750,2017-08-28 12:00:00,15.0,18034.714247,158511.172994,23,4
4,6000000550,6000000550,2017-08-28 12:00:00,30.0,10327.8477795,48697.557602,10,4
8,6000000984,6000000984,2017-08-28 12:00:00,62.0,13676.426632499999,95099.8894105,10,4
13,6000001004,6000001004,2017-08-28 12:00:00,39.0,8473.540337,35112.409201999995,10,4
7,6000001025,6000001025,2017-08-28 12:00:00,60.0,13643.140074,94796.16930549999,11,4
12,6000001028,6000001028,2017-08-28 12:00:00,69.0,17208.406271,140447.422257,11,4
13,6000000868,6000000868,2017-08-28 12:00:00,22.0,9378.7706215,48262.581662,11,4
4,6000000914,6000000914,2017-08-28 12:00:00,40.0,11903.2420265,69531.483924,13,4
7,6000000811,6000000811,2017-08-28 12:00:00,4.0,29952.962556,239524.889805,13,4
8,6000000574,6000000574,2017-08-28 12:00:00,6.0,40510.135041,434016.97882899997,13,4
9,6000000746,6000000746,2017-08-28 12:00:00,41.0,15544.576365,113379.413266,14,4
9,6000000217,6000000217,2017-08-28 12:00:00,39.0,15587.22744,100237.129389,16,4
10,6000000940,6000000940,2017-08-28 12:00:00,27.0,8545.754864,38655.800702,16,4
9,6000000213,6000000213,2017-08-28 12:00:00,11.0,17175.140638,119195.07780799999,18,4
10,6000001013,6000001013,2017-08-28 12:00:00,57.0,9337.571217,46136.348143,18,4
12,6000001023,6000001023,2017-08-28 12:00:00,25.0,17882.72651,163969.924035,18,4
13,6000000996,6000000996,2017-08-28 12:00:00,41.0,18377.880080000003,149594.005305,18,4
12,6000000723,6000000723,2017-08-28 12:00:00,13.0,15389.610747,98077.87573300001,19,4
14,6000000703,6000000703,2017-08-28 12:00:00,14.0,10313.766126,45713.513807999996,20,4
14,6000001008,6000001008,2017-08-28 12:00:00,98.0,18518.079041999998,137903.145793,23,4
2,6000000995,6000000995,2017-08-28 12:00:00,40.0,16139.371794499999,97167.2211005,24,4
9,6000001000,6000001000,2017-08-28 12:00:00,36.0,25662.148136,195747.41361,24,4
14,6000000722,6000000722,2017-08-28 12:00:00,87.0,13342.813147,74877.580216,24,4
8,6000000210,6000000210,2017-08-29 12:00:00,7.0,5518.168743,20539.076183,3,4
14,6000000727,6000000727,2017-08-29 12:00:00,53.0,11696.258098,72969.693463,31,4
14,6000000869,6000000869,2017-08-29 12:00:00,20.0,8307.242533499999,41904.1074935,11,4
9,6000000235,6000000235,2017-08-29 12:00:00,34.0,13609.626302,94851.796961,12,4
4,6000000884,6000000884,2017-08-29 12:00:00,3.0,9920.807115000001,60025.849497,14,4
12,6000001059,6000001059,2017-08-29 12:00:00,9.0,10639.678201,62367.694709,14,4
8,6000000214,6000000214,2017-08-29 12:00:00,14.0,11291.805464000001,65018.17890499999,36,4
2,6000001061,6000001061,2017-08-29 12:00:00,9.0,10877.72714,79081.912849,20,4
8,6000000987,6000000987,2017-08-29 12:00:00,22.0,12370.7391735,81123.11465049999,50,4
11,6000000862,6000000862,2017-08-29 12:00:00,33.0,9822.897877,55159.300598,20,4
6,6000000978,6000000978,2017-08-29 12:00:00,19.0,24135.814569,174555.838474,28,4
9,6000000693,6000000693,2017-08-29 12:00:00,7.0,12297.138473,73724.39094299999,27,4
4,6000000999,6000000999,2017-08-29 12:00:00,34.0,19766.123878,159540.01733099998,29,4
8,6000000960,6000000960,2017-08-29 12:00:00,14.0,12150.142401000001,62420.496934,30,4
13,6000000851,6000000851,2017-08-29 12:00:00,20.0,12483.64772,86911.78289249999,30,4
7,6000000576,6000000576,2017-08-29 12:00:00,16.0,11264.686201,70854.87560099999,31,4
9,6000000739,6000000739,2017-08-29 12:00:00,44.0,13058.1222995,83369.6974245,31,4
5,6000000926,6000000926,2017-08-29 12:00:00,11.0,14211.704456,91588.1215,37,4
11,6000000694,6000000694,2017-08-29 12:00:00,24.0,14669.228678,82553.1552425,45,4
12,6000000223,6000000223,2017-08-29 12:00:00,7.0,9397.841784999999,39870.969164,45,4
10,6000001026,6000001026,2017-08-29 12:00:00,10.0,8271.451272,37250.263383499994,50,4
14,6000000801,6000000801,2017-08-29 12:00:00,24.0,25584.4802905,218597.036302,52,4
2,6000000733,6000000733,2017-08-29 12:00:00,7.0,12899.084829000001,72347.20852,30,4
8,6000000960,6000000960,2017-08-30 12:00:00,12.0,12751.537013,58808.0700685,30,4
2,6000000733,6000000733,2017-08-30 12:00:00,6.0,12131.356489,71032.7577935,30,4
2,6000000731,6000000731,2017-08-18 12:00:00,29.0,17136.196388999997,100826.001932,31,4
3,6000001004,6000001004,2017-08-18 12:00:00,61.0,9631.483777,47088.107805,31,4
6,6000000992,6000000992,2017-08-18 12:00:00,54.0,12079.263348,80465.8773215,31,4
8,6000000997,6000000997,2017-08-18 12:00:00,115.0,13199.927995,72539.389589,31,4
