canopy_height,column,cultivar,cultivar_id,date,leaf_angle_alpha,leaf_angle_beta,leaf_angle_chi,leaf_angle_mean,range,season
382.0,11,6000000575,6000000575,2017-08-25 12:00:00,2.28381039259,1.6681757120899998,1.8067455779400003,0.43481856240500005,29,4
326.0,13,6000000860,6000000860,2017-08-25 12:00:00,1.27918476597,1.26637929644,1.6161446203299998,0.491875599397,50,4
287.0,7,6000000215,6000000215,2017-08-25 12:00:00,2.15713264573,1.4433432269400002,1.98916611789,0.41501051095200003,29,4
304.0,2,6000000696,6000000696,2017-08-25 12:00:00,1.7747987726099999,1.4429444973899999,1.7539466766900003,0.45970041862899996,28,4
354.0,11,6000000468,6000000468,2017-08-25 12:00:00,1.71081091556,1.5081314668399999,1.64328870186,0.476391657029,35,4
342.0,2,6000000870,6000000870,2017-08-25 12:00:00,2.61078009884,1.70017779069,1.92183686678,0.41445668269100006,51,4
298.0,4,6000000799,6000000799,2017-08-25 12:00:00,2.83896717524,1.78116852583,1.98340805251,0.396664020018,31,4
278.0,7,6000000749,6000000749,2017-08-25 12:00:00,1.30074297559,1.37578640232,1.4932441517200001,0.511092403628,10,4
317.0,5,6000000729,6000000729,2017-08-25 12:00:00,1.83458426841,1.6446095908899998,1.59528310967,0.476410102825,12,4
369.0,7,6000000734,6000000734,2017-08-25 12:00:00,1.1457226594299998,1.44189319037,1.29984033018,0.552783212729,27,4
320.0,5,6000000690,6000000690,2017-08-25 12:00:00,1.4616952549700002,1.4585082793000002,1.53591298438,0.50319465893,26,4
340.0,4,6000000914,6000000914,2017-08-25 12:00:00,0.9478177381309999,1.25780866104,1.26259256128,0.5601418342369999,13,4
316.0,8,6000000984,6000000984,2017-08-25 12:00:00,1.8754980621500001,1.53455564234,1.7219492747999998,0.458239945264,10,4
339.0,11,6000001005,6000001005,2017-08-25 12:00:00,1.77295038751,1.43043490805,1.7524390602000002,0.458031245347,18,4
357.0,6,6000000706,6000000706,2017-08-25 12:00:00,1.34881106929,1.6117597960899999,1.33039785327,0.543524760716,21,4
357.0,2,6000001055,6000001055,2017-08-25 12:00:00,2.99459905625,1.8320733691599997,1.9610313429799997,0.410765676987,54,4
360.0,13,6000001054,6000001054,2017-08-25 12:00:00,2.0314637950599996,1.50549035958,1.83696859176,0.437503385782,54,4
330.0,13,6000000569,6000000569,2017-08-25 12:00:00,1.0244701785700001,1.24675407965,1.4038737778900001,0.537356214637,37,4
306.0,4,6000000744,6000000744,2017-08-25 12:00:00,1.6010187081099998,1.23526962518,1.9124560214300002,0.443158985674,34,4
362.0,12,6000000685,6000000685,2017-08-25 12:00:00,1.8105673939099998,1.37640757116,1.8586325571200002,0.441041472228,3,4
335.0,13,6000000924,6000000924,2017-08-25 12:00:00,1.03018675344,1.14731744073,1.51805679312,0.512408909489,3,4
337.0,15,6000000572,6000000572,2017-08-25 12:00:00,3.2123681947500002,1.83880320896,2.01625186494,0.405522332426,34,4
328.0,9,6000001012,6000001012,2017-08-25 12:00:00,2.0273965016499997,1.49128886846,1.8350261750599999,0.44147576234700003,34,4
373.0,4,6000000911,6000000911,2017-08-25 12:00:00,1.55886619585,2.02835762097,1.22865015041,0.569918298553,49,4
339.0,7,6000000928,6000000928,2017-08-25 12:00:00,2.6538218362,1.6005663313499998,2.04446632252,0.40518198367200003,34,4
366.0,6,6000001056,6000001056,2017-08-25 12:00:00,1.5014760142299999,1.32303890691,1.71673196146,0.47048115323600004,36,4
373.0,6,6000000859,6000000859,2017-08-25 12:00:00,2.6557789108099996,1.78058836717,1.88026768929,0.422976723332,39,4
323.0,3,6000000471,6000000471,2017-08-25 12:00:00,1.3371163291,1.3078384586799998,1.59847322599,0.49070799072300003,44,4
376.0,11,6000000902,6000000902,2017-08-25 12:00:00,1.4363675141299999,1.40095899086,1.5534334962099998,0.49268730594099996,40,4
378.0,4,6000000555,6000000555,2017-08-25 12:00:00,3.7523379681699995,2.11210311473,2.0136866691599997,0.39151542997199995,6,4
381.0,6,6000000913,6000000913,2017-08-25 12:00:00,1.04454165185,1.40310549927,1.26380943567,0.566959323512,6,4
319.0,4,6000000803,6000000803,2017-08-25 12:00:00,2.57493816899,1.7415233761000002,1.86864174503,0.42625885681500003,35,4
